Action,Date,Type,ApplicationNumber,BankName,Location,City,State,County,EndCmtPd
Consummated/Effective,2020-05-15,Branch Closings,2020-LB-BranchClosing-313154,PNC Bank NA,222 Delaware Avenue,Wilmington,DE,New Castle, 
Consummated/Effective,2020-05-15,Branch Closings,2020-LB-BranchClosing-313155,PNC Bank NA,222 Delaware Avenue,Wilmington,DE,New Castle, 
Consummated/Effective,2020-05-15,Branch Closings,2020-LB-BranchClosing-313156,PNC Bank NA,222 Delaware Avenue,Wilmington,DE,New Castle, 
Consummated/Effective,2020-05-15,Branch Closings,2020-LB-BranchClosing-313157,PNC Bank NA,222 Delaware Avenue,Wilmington,DE,New Castle, 
Consummated/Effective,2020-05-15,Branch Closings,2020-LB-BranchClosing-313158,PNC Bank NA,222 Delaware Avenue,Wilmington,DE,New Castle, 
Consummated/Effective,2020-05-15,Branch Closings,2020-LB-BranchClosing-313159,PNC Bank NA,222 Delaware Avenue,Wilmington,DE,New Castle, 
Consummated/Effective,2020-05-15,Branch Closings,2020-LB-BranchClosing-313160,PNC Bank NA,222 Delaware Avenue,Wilmington,DE,New Castle, 
Consummated/Effective,2020-05-15,Branch Closings,2020-LB-BranchClosing-313161,PNC Bank NA,222 Delaware Avenue,Wilmington,DE,New Castle, 
Consummated/Effective,2020-05-15,Branch Closings,2020-LB-BranchClosing-313166,PNC Bank NA,222 Delaware Avenue,Wilmington,DE,New Castle, 
Consummated/Effective,2020-05-15,Branch Closings,2020-LB-BranchClosing-313167,PNC Bank NA,222 Delaware Avenue,Wilmington,DE,New Castle, 
Consummated/Effective,2020-05-15,Branch Closings,2020-LB-BranchClosing-313168,PNC Bank NA,222 Delaware Avenue,Wilmington,DE,New Castle, 
Consummated/Effective,2020-05-15,Branch Closings,2020-LB-BranchClosing-313169,PNC Bank NA,222 Delaware Avenue,Wilmington,DE,New Castle, 
Consummated/Effective,2020-05-15,Branch Closings,2020-LB-BranchClosing-313170,PNC Bank NA,222 Delaware Avenue,Wilmington,DE,New Castle, 
Consummated/Effective,2020-05-15,Branch Closings,2020-LB-BranchClosing-313171,PNC Bank NA,222 Delaware Avenue,Wilmington,DE,New Castle, 
Consummated/Effective,2020-05-15,Branch Closings,2020-LB-BranchClosing-313218,PNC Bank NA,222 Delaware Avenue,Wilmington,DE,New Castle, 
Consummated/Effective,2020-05-15,Branch Closings,2020-LB-BranchClosing-313220,PNC Bank NA,222 Delaware Avenue,Wilmington,DE,New Castle, 
Consummated/Effective,2020-05-15,Branch Closings,2020-CE-BranchClosing-314488,TCF NB,2508 South Louise Avenue,Sioux Falls,SD,Minnehaha, 
Consummated/Effective,2020-05-15,Branch Closings,2020-CE-BranchClosing-314491,TCF NB,2508 South Louise Avenue,Sioux Falls,SD,Minnehaha, 
Consummated/Effective,2020-05-15,Branch Closings,2020-CE-BranchClosing-314544,TCF NB,2508 South Louise Avenue,Sioux Falls,SD,Minnehaha, 
Consummated/Effective,2020-05-15,Branch Closings,2020-CE-BranchClosing-314545,TCF NB,2508 South Louise Avenue,Sioux Falls,SD,Minnehaha, 
Consummated/Effective,2020-05-15,Branch Closings,2020-CE-BranchClosing-314546,TCF NB,2508 South Louise Avenue,Sioux Falls,SD,Minnehaha, 
Consummated/Effective,2020-05-15,Branch Closings,2020-CE-BranchClosing-314547,TCF NB,2508 South Louise Avenue,Sioux Falls,SD,Minnehaha, 
Consummated/Effective,2020-05-15,Branch Closings,2020-CE-BranchClosing-314548,TCF NB,2508 South Louise Avenue,Sioux Falls,SD,Minnehaha, 
Receipt,2020-05-15,Relocation,2020-LB-Relocation-314542,"TD Bank, NA",2035 Limestone Road,Wilmington,DE,New Castle,2020-06-14
Receipt,2020-05-15,Branch Establishment,2020-NE-BranchNew-314537,Virginia NB,222 East Main Street,Charlottesville,VA,Charlottesville City,2020-06-15
Consummated/Effective,2020-05-18,Relocation,2020-LB-Relocation-312643,"Citizens Bank, NA",One Citizens Plaza,Providence,RI,Providence,2020-02-07
Consummated/Effective,2020-05-18,Business Combinations,2019-CE-Combination-311833,FCN Bank NA,501 Main Street,Brookville,IN,Franklin,2019-12-13
Approved,2020-05-18,Branch Establishment,2020-CE-BranchNew-313685,First NB of Kentucky,604 Highland Avenue,Carrollton,KY,Carroll,2020-05-15
Consummated/Effective,2020-05-18,Branch Establishment,2019-CE-BranchNew-310370,Old NB,1 Main Street,Evansville,IN,Vanderburgh,2019-09-20
Receipt,2020-05-18,Branch Closings,2020-CE-BranchClosing-314488,TCF NB,2508 South Louise Avenue,Sioux Falls,SD,Minnehaha, 
Receipt,2020-05-18,Branch Closings,2020-CE-BranchClosing-314491,TCF NB,2508 South Louise Avenue,Sioux Falls,SD,Minnehaha, 
Receipt,2020-05-18,Branch Closings,2020-CE-BranchClosing-314544,TCF NB,2508 South Louise Avenue,Sioux Falls,SD,Minnehaha, 
Receipt,2020-05-18,Branch Closings,2020-CE-BranchClosing-314545,TCF NB,2508 South Louise Avenue,Sioux Falls,SD,Minnehaha, 
Receipt,2020-05-18,Branch Closings,2020-CE-BranchClosing-314546,TCF NB,2508 South Louise Avenue,Sioux Falls,SD,Minnehaha, 
Receipt,2020-05-18,Branch Closings,2020-CE-BranchClosing-314547,TCF NB,2508 South Louise Avenue,Sioux Falls,SD,Minnehaha, 
Receipt,2020-05-18,Branch Closings,2020-CE-BranchClosing-314548,TCF NB,2508 South Louise Avenue,Sioux Falls,SD,Minnehaha, 
Consummated/Effective,2020-05-18,Branch Closings,2019-LB-BranchClosing-307926,"Wells Fargo Bank, N.A.",101 North Philips Avenue,Sioux Falls,SD,Minnehaha, 
Consummated/Effective,2020-05-18,Relocation,2019-LB-Relocation-307895,"Wells Fargo Bank, N.A.",101 North Philips Avenue,Sioux Falls,SD,Minnehaha,2019-04-05
Approved,2020-05-18,Branch Establishment,2020-CE-BranchNew-314230,"Wintrust Bank, NA",231 South LaSalle Street,Chicago,IL,Cook,2020-05-11
Receipt,2020-05-18,Subsidiaries & Equities,2020-SO-Subs&Equities-314598,Yoakum NB,301 W. Grand Avenue,Yoakum,TX,Dewitt, 
Consummated/Effective,2020-05-19,Branch Closings,2020-LB-BranchClosing-313103,"Bank of America, NA","100 North Tryon Street, Suite 170",Charlotte,NC,Mecklenburg, 
Consummated/Effective,2020-05-19,Branch Closings,2020-LB-BranchClosing-313319,"Capital One, NA",1680 Capital One Drive,McLean,VA,Fairfax, 
Consummated/Effective,2020-05-19,Branch Closings,2020-LB-BranchClosing-313323,"Capital One, NA",1680 Capital One Drive,McLean,VA,Fairfax, 
Consummated/Effective,2020-05-19,Branch Closings,2020-LB-BranchClosing-313326,"Capital One, NA",1680 Capital One Drive,McLean,VA,Fairfax, 
Consummated/Effective,2020-05-19,Branch Closings,2020-LB-BranchClosing-313327,"Capital One, NA",1680 Capital One Drive,McLean,VA,Fairfax, 
Consummated/Effective,2020-05-19,Branch Closings,2020-LB-BranchClosing-313334,"Capital One, NA",1680 Capital One Drive,McLean,VA,Fairfax, 
Consummated/Effective,2020-05-19,Branch Closings,2020-LB-BranchClosing-313335,"Capital One, NA",1680 Capital One Drive,McLean,VA,Fairfax, 
Consummated/Effective,2020-05-19,Branch Closings,2020-LB-BranchClosing-313338,"Capital One, NA",1680 Capital One Drive,McLean,VA,Fairfax, 
Consummated/Effective,2020-05-19,Branch Closings,2020-LB-BranchClosing-313339,"Capital One, NA",1680 Capital One Drive,McLean,VA,Fairfax, 
Consummated/Effective,2020-05-19,Branch Closings,2020-LB-BranchClosing-313340,"Capital One, NA",1680 Capital One Drive,McLean,VA,Fairfax, 
Consummated/Effective,2020-05-19,Branch Closings,2020-LB-BranchClosing-313341,"Capital One, NA",1680 Capital One Drive,McLean,VA,Fairfax, 
Receipt,2020-05-19,Relocation,2020-SO-Relocation-314557,"Commercial Bank of Texas, NA",215 E. Main Street,Nacogdoches,TX,Nacogdoches,2020-06-04
Consummated/Effective,2020-05-19,Branch Closings,2020-LB-BranchClosing-313054,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware, 
Receipt,2020-05-19,Branch Closings,2020-LB-BranchClosing-314565,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware, 
Approved,2020-05-19,Branch Establishment,2020-LB-BranchNew-314273,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware,2020-05-15
Approved,2020-05-19,Branch Establishment,2020-LB-BranchNew-314274,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware,2020-05-15
Approved,2020-05-19,215a-3: Mergers with Non-Bank Affiliates,2020-CE-215a3-314052,Neighborhood NB,45 North Union Street,Mora,MN,Kanabec, 
Approved,2020-05-19,5.53 Substantial Change in Assets,2020-CE-5.53-314051,Neighborhood NB,45 North Union Street,Mora,MN,Kanabec, 
Withdrawn,2020-05-19,Business Combinations,2020-CE-Combination-313492,Nicolet NB,111 North Washington Street,Green Bay,WI,Brown,2020-04-03
Approved,2020-05-19,Business Combinations,2020-CE-Combination-314178,Nicolet NB,111 North Washington Street,Green Bay,WI,Brown,2020-05-08
Receipt,2020-05-19,Relocation,2020-CE-Relocation-314556,Old NB,1 Main Street,Evansville,IN,Vanderburgh,2020-06-05
Approved,2020-05-19,Relocation,2020-LB-Relocation-314223,PNC Bank NA,222 Delaware Avenue,Wilmington,DE,New Castle,2020-05-17
Receipt,2020-05-19,Branch Closings,2020-SO-BranchClosing-314599,Seacoast NB,815 Colorado Avenue,Stuart,FL,Martin, 
Consummated/Effective,2020-05-19,Branch Closings,2020-LB-BranchClosing-313275,U.S. Bank NA,425 Walnut Street,Cincinnati,OH,Hamilton, 
Approved,2020-05-20,Branch Establishment,2020-LB-BranchNew-314265,"Bank of America, NA","100 North Tryon Street, Suite 170",Charlotte,NC,Mecklenburg,2020-05-16
Approved,2020-05-20,Relocation,2020-LB-Relocation-314290,"Bank of America, NA","100 North Tryon Street, Suite 170",Charlotte,NC,Mecklenburg,2020-05-17
Approved,2020-05-20,Relocation,2020-LB-Relocation-314293,"Bank of America, NA","100 North Tryon Street, Suite 170",Charlotte,NC,Mecklenburg,2020-05-17
Consummated/Effective,2020-05-20,Branch Closings,2020-LB-BranchClosing-313328,"Capital One, NA",1680 Capital One Drive,McLean,VA,Fairfax, 
Consummated/Effective,2020-05-20,Branch Closings,2020-LB-BranchClosing-313336,"Capital One, NA",1680 Capital One Drive,McLean,VA,Fairfax, 
Consummated/Effective,2020-05-20,Branch Closings,2020-LB-BranchClosing-313345,"Capital One, NA",1680 Capital One Drive,McLean,VA,Fairfax, 
Receipt,2020-05-20,Branch Establishment,2020-SO-BranchNew-314615,First American Natl Bank,1251 Curtis Drive,Iuka,MS,Tishomingo,2020-06-19
Receipt,2020-05-20,Branch Establishment,2020-NE-BranchNew-314583,First NB of Pennsylvania,166 Main Street,Greenville,PA,Mercer,2020-06-19
Withdrawn,2020-05-20,Branch Establishment,2020-NE-BranchNew-314583,First NB of Pennsylvania,166 Main Street,Greenville,PA,Mercer,2020-06-19
Receipt,2020-05-20,Branch Establishment,2020-NE-BranchNew-314586,First NB of Pennsylvania,166 Main Street,Greenville,PA,Mercer,2020-06-19
Consummated/Effective,2020-05-21,Subsidiaries & Equities,2020-LB-Subs&Equities-314724,"Capital One, NA",1680 Capital One Drive,McLean,VA,Fairfax, 
Consummated/Effective,2020-05-21,Subsidiaries & Equities,2020-WE-Subs&Equities-314762,"CIT Bank, NA",95 South Lake Avenue,Pasadena,CA,Los Angeles, 
Consummated/Effective,2020-05-21,Subsidiaries & Equities,2020-WE-Subs&Equities-314763,"CIT Bank, NA",95 South Lake Avenue,Pasadena,CA,Los Angeles, 
Receipt,2020-05-21,Relocation,2020-LB-Relocation-314606,"Citizens Bank, NA",One Citizens Plaza,Providence,RI,Providence,2020-06-04
Receipt,2020-05-21,Relocation,2020-LB-Relocation-314607,"Citizens Bank, NA",One Citizens Plaza,Providence,RI,Providence,2020-06-05
Receipt,2020-05-21,Relocation,2020-LB-Relocation-314611,"Citizens Bank, NA",One Citizens Plaza,Providence,RI,Providence,2020-06-19
Receipt,2020-05-21,Subsidiaries & Equities,2020-LB-Subs&Equities-314642,Huntington NB,17 South High Street,Columbus,OH,Franklin, 
Consummated/Effective,2020-05-21,Branch Closings,2019-LB-BranchClosing-312282,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware, 
Consummated/Effective,2020-05-21,Branch Closings,2020-LB-BranchClosing-313052,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware, 
Consummated/Effective,2020-05-21,Branch Closings,2020-LB-BranchClosing-313053,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware, 
Consummated/Effective,2020-05-21,Branch Closings,2020-LB-BranchClosing-313078,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware, 
Consummated/Effective,2020-05-21,Branch Closings,2020-LB-BranchClosing-313206,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware, 
Consummated/Effective,2020-05-21,Branch Closings,2020-LB-BranchClosing-313210,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware, 
Consummated/Effective,2020-05-21,Branch Closings,2020-LB-BranchClosing-314656,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware, 
Receipt,2020-05-21,Branch Establishment,2020-LB-BranchNew-314600,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware,2020-06-19
Consummated/Effective,2020-05-21,Branch Closings,2020-LB-BranchClosing-313276,U.S. Bank NA,425 Walnut Street,Cincinnati,OH,Hamilton, 
Consummated/Effective,2020-05-21,Branch Closings,2020-LB-BranchClosing-313277,U.S. Bank NA,425 Walnut Street,Cincinnati,OH,Hamilton, 
Receipt,2020-05-22,Relocation,2020-WE-Relocation-314647,American Bank & Tr Co NA,4301 East 53rd Street,Davenport,IA,Scott, 
Receipt,2020-05-22,Subsidiaries & Equities,2020-LB-Subs&Equities-314643,"Capital One, NA",1680 Capital One Drive,McLean,VA,Fairfax, 
Receipt,2020-05-22,Subsidiaries & Equities,2020-LB-Subs&Equities-314645,"Capital One, NA",1680 Capital One Drive,McLean,VA,Fairfax, 
Consummated/Effective,2020-05-22,Terminations,2020-CE-Termination-313608,Central FS & LA of Rolla,210 W 10th St,Rolla,MO,Phelps, 
Receipt,2020-05-22,Branch Closings,2020-NE-BranchClosing-314641,City NB of West Virginia,"3601 Mccorkle Avenue, S.E.",Charleston,WV,Kanawha, 
Receipt,2020-05-22,Branch Closings,2020-LB-BranchClosing-314613,"Fifth Third Bank, NA",38 Fountain Square Plaza,Cincinnati,OH,Hamilton, 
Receipt,2020-05-22,Branch Establishment,2020-CE-BranchNew-314818,First NB of Le Center,10 West Minnesota Street,Le Center,MN,Le Sueur,2020-06-27
Receipt,2020-05-22,Relocation,2020-CE-Relocation-314655,First NB of Le Center,10 West Minnesota Street,Le Center,MN,Le Sueur,2020-06-27
Consummated/Effective,2020-05-22,Branch Establishment,2020-SO-BranchNew-312891,First NB Texas,507 N. Gray,Killeen,TX,Bell,2020-02-26
Consummated/Effective,2020-05-22,Branch Closings,2020-LB-BranchClosing-314698,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware, 
Consummated/Effective,2020-05-22,Branch Closings,2020-LB-BranchClosing-313385,KeyBank NA,127 Public Square,Cleveland,OH,Cuyahoga, 
Consummated/Effective,2020-05-22,Branch Closings,2020-LB-BranchClosing-313664,KeyBank NA,127 Public Square,Cleveland,OH,Cuyahoga, 
Receipt,2020-05-22,Branch Closings,2020-CE-BranchClosing-314617,Park NB,50 North Third Street,Newark,OH,Licking, 
Receipt,2020-05-22,Branch Closings,2020-CE-BranchClosing-314618,Park NB,50 North Third Street,Newark,OH,Licking, 
Receipt,2020-05-22,Branch Closings,2020-CE-BranchClosing-314619,Park NB,50 North Third Street,Newark,OH,Licking, 
Receipt,2020-05-22,Branch Closings,2020-CE-BranchClosing-314620,Park NB,50 North Third Street,Newark,OH,Licking, 
Receipt,2020-05-22,Branch Closings,2020-CE-BranchClosing-314621,Park NB,50 North Third Street,Newark,OH,Licking, 
Receipt,2020-05-22,Branch Closings,2020-CE-BranchClosing-314623,Park NB,50 North Third Street,Newark,OH,Licking, 
Receipt,2020-05-22,Branch Closings,2020-CE-BranchClosing-314624,Park NB,50 North Third Street,Newark,OH,Licking, 
Receipt,2020-05-22,Branch Closings,2020-CE-BranchClosing-314625,Park NB,50 North Third Street,Newark,OH,Licking, 
Receipt,2020-05-22,Branch Closings,2020-CE-BranchClosing-314626,Park NB,50 North Third Street,Newark,OH,Licking, 
Receipt,2020-05-22,Branch Closings,2020-CE-BranchClosing-314627,Park NB,50 North Third Street,Newark,OH,Licking, 
Receipt,2020-05-22,Branch Closings,2020-CE-BranchClosing-314628,Park NB,50 North Third Street,Newark,OH,Licking, 
Receipt,2020-05-22,Branch Closings,2020-CE-BranchClosing-314629,Park NB,50 North Third Street,Newark,OH,Licking, 
Receipt,2020-05-22,Branch Closings,2020-CE-BranchClosing-314630,Park NB,50 North Third Street,Newark,OH,Licking, 
Receipt,2020-05-22,Branch Closings,2020-CE-BranchClosing-314631,Park NB,50 North Third Street,Newark,OH,Licking, 
Receipt,2020-05-22,Branch Closings,2020-CE-BranchClosing-314632,Park NB,50 North Third Street,Newark,OH,Licking, 
Receipt,2020-05-22,Branch Closings,2020-CE-BranchClosing-314633,Park NB,50 North Third Street,Newark,OH,Licking, 
Receipt,2020-05-22,Branch Closings,2020-CE-BranchClosing-314635,Park NB,50 North Third Street,Newark,OH,Licking, 
Receipt,2020-05-22,Branch Closings,2020-CE-BranchClosing-314636,Park NB,50 North Third Street,Newark,OH,Licking, 
Receipt,2020-05-22,Branch Closings,2020-CE-BranchClosing-314637,Park NB,50 North Third Street,Newark,OH,Licking, 
Receipt,2020-05-22,Branch Closings,2020-CE-BranchClosing-314638,Park NB,50 North Third Street,Newark,OH,Licking, 
Receipt,2020-05-22,Branch Closings,2020-LB-BranchClosing-313709,PNC Bank NA,222 Delaware Avenue,Wilmington,DE,New Castle, 
Receipt,2020-05-22,Branch Closings,2020-LB-BranchClosing-313710,PNC Bank NA,222 Delaware Avenue,Wilmington,DE,New Castle, 
Receipt,2020-05-22,Branch Closings,2020-LB-BranchClosing-313712,PNC Bank NA,222 Delaware Avenue,Wilmington,DE,New Castle, 
Receipt,2020-05-22,Branch Closings,2020-LB-BranchClosing-313713,PNC Bank NA,222 Delaware Avenue,Wilmington,DE,New Castle, 
Receipt,2020-05-22,Branch Closings,2020-LB-BranchClosing-313714,PNC Bank NA,222 Delaware Avenue,Wilmington,DE,New Castle, 
Receipt,2020-05-22,Branch Closings,2020-LB-BranchClosing-313756,PNC Bank NA,222 Delaware Avenue,Wilmington,DE,New Castle, 
Receipt,2020-05-22,Branch Closings,2020-LB-BranchClosing-313757,PNC Bank NA,222 Delaware Avenue,Wilmington,DE,New Castle, 
Receipt,2020-05-22,Branch Closings,2020-LB-BranchClosing-313770,PNC Bank NA,222 Delaware Avenue,Wilmington,DE,New Castle, 
Receipt,2020-05-22,Branch Closings,2020-LB-BranchClosing-313771,PNC Bank NA,222 Delaware Avenue,Wilmington,DE,New Castle, 
Receipt,2020-05-22,Branch Closings,2020-LB-BranchClosing-313772,PNC Bank NA,222 Delaware Avenue,Wilmington,DE,New Castle, 
Receipt,2020-05-22,Branch Closings,2020-LB-BranchClosing-313773,PNC Bank NA,222 Delaware Avenue,Wilmington,DE,New Castle, 
Receipt,2020-05-22,Branch Closings,2020-LB-BranchClosing-314184,PNC Bank NA,222 Delaware Avenue,Wilmington,DE,New Castle, 
Receipt,2020-05-22,Branch Closings,2020-LB-BranchClosing-314185,PNC Bank NA,222 Delaware Avenue,Wilmington,DE,New Castle, 
Receipt,2020-05-22,Branch Closings,2020-LB-BranchClosing-314187,PNC Bank NA,222 Delaware Avenue,Wilmington,DE,New Castle, 
Receipt,2020-05-22,Branch Closings,2020-LB-BranchClosing-314188,PNC Bank NA,222 Delaware Avenue,Wilmington,DE,New Castle, 
Receipt,2020-05-22,Branch Closings,2020-LB-BranchClosing-314189,PNC Bank NA,222 Delaware Avenue,Wilmington,DE,New Castle, 
Receipt,2020-05-22,Branch Closings,2020-LB-BranchClosing-314191,PNC Bank NA,222 Delaware Avenue,Wilmington,DE,New Castle, 
Receipt,2020-05-22,Branch Closings,2020-LB-BranchClosing-314192,PNC Bank NA,222 Delaware Avenue,Wilmington,DE,New Castle, 
Receipt,2020-05-22,Branch Closings,2020-LB-BranchClosing-314193,PNC Bank NA,222 Delaware Avenue,Wilmington,DE,New Castle, 
Receipt,2020-05-22,Branch Closings,2020-LB-BranchClosing-314194,PNC Bank NA,222 Delaware Avenue,Wilmington,DE,New Castle, 
Receipt,2020-05-22,Branch Closings,2020-LB-BranchClosing-314213,PNC Bank NA,222 Delaware Avenue,Wilmington,DE,New Castle, 
Receipt,2020-05-22,Branch Closings,2020-LB-BranchClosing-314214,PNC Bank NA,222 Delaware Avenue,Wilmington,DE,New Castle, 
Receipt,2020-05-22,Branch Closings,2020-LB-BranchClosing-314521,PNC Bank NA,222 Delaware Avenue,Wilmington,DE,New Castle, 
Receipt,2020-05-22,Branch Closings,2020-LB-BranchClosing-314523,PNC Bank NA,222 Delaware Avenue,Wilmington,DE,New Castle, 
Receipt,2020-05-22,Branch Closings,2020-LB-BranchClosing-314559,PNC Bank NA,222 Delaware Avenue,Wilmington,DE,New Castle, 
Receipt,2020-05-22,Branch Closings,2020-LB-BranchClosing-314561,PNC Bank NA,222 Delaware Avenue,Wilmington,DE,New Castle, 
Receipt,2020-05-22,Branch Closings,2020-LB-BranchClosing-314567,PNC Bank NA,222 Delaware Avenue,Wilmington,DE,New Castle, 
Receipt,2020-05-22,Branch Closings,2020-LB-BranchClosing-314568,PNC Bank NA,222 Delaware Avenue,Wilmington,DE,New Castle, 
Receipt,2020-05-22,Branch Closings,2020-LB-BranchClosing-314569,PNC Bank NA,222 Delaware Avenue,Wilmington,DE,New Castle, 
Approved,2020-05-22,Branch Establishment,2020-LB-BranchNew-314261,PNC Bank NA,222 Delaware Avenue,Wilmington,DE,New Castle,2020-05-21
Approved,2020-05-22,Branch Establishment,2020-LB-BranchNew-314263,PNC Bank NA,222 Delaware Avenue,Wilmington,DE,New Castle,2020-05-21
Approved,2020-05-22,Branch Establishment,2020-LB-BranchNew-314264,PNC Bank NA,222 Delaware Avenue,Wilmington,DE,New Castle,2020-05-21
Consummated/Effective,2020-05-26,Branch Establishment,2019-LB-BranchNew-312154,"Bank of America, NA","100 North Tryon Street, Suite 170",Charlotte,NC,Mecklenburg,2020-01-10
Consummated/Effective,2020-05-26,Branch Establishment,2020-LB-BranchNew-313441,"Bank of America, NA","100 North Tryon Street, Suite 170",Charlotte,NC,Mecklenburg,2020-03-28
Approved,2020-05-26,Branch Establishment,2020-LB-BranchNew-314315,"Bank of America, NA","100 North Tryon Street, Suite 170",Charlotte,NC,Mecklenburg,2020-05-22
Receipt,2020-05-26,Branch Establishment,2020-LB-BranchNew-314278,"Fifth Third Bank, NA",38 Fountain Square Plaza,Cincinnati,OH,Hamilton,2020-06-25
Receipt,2020-05-26,Subsidiaries & Equities,2020-NE-Subs&Equities-314651,Home Loan Inv Bk FSB,"1 Home Loan Plaza, Suite 3",Warwick,RI,Kent, 
Consummated/Effective,2020-05-26,Branch Closings,2020-LB-BranchClosing-313377,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware, 
Receipt,2020-05-26,Branch Closings,2020-LB-BranchClosing-314656,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware, 
Consummated/Effective,2020-05-26,Branch Establishment,2019-LB-BranchNew-309112,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware,2019-06-20
Consummated/Effective,2020-05-26,Branch Closings,2020-LB-BranchClosing-313646,U.S. Bank NA,425 Walnut Street,Cincinnati,OH,Hamilton, 
Approved,2020-05-27,Branch Establishment,2020-LB-BranchNew-314314,"Bank of America, NA","100 North Tryon Street, Suite 170",Charlotte,NC,Mecklenburg,2020-05-22
Approved,2020-05-27,Relocation,2020-LB-Relocation-314446,"Citizens Bank, NA",One Citizens Plaza,Providence,RI,Providence,2020-05-22
Approved,2020-05-27,Branch Establishment,2020-LB-BranchNew-314306,Huntington NB,17 South High Street,Columbus,OH,Franklin,2020-05-24
Consummated/Effective,2020-05-27,Branch Closings,2020-LB-BranchClosing-312928,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware, 
Consummated/Effective,2020-05-27,Branch Closings,2020-LB-BranchClosing-312930,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware, 
Consummated/Effective,2020-05-27,Branch Closings,2020-LB-BranchClosing-313079,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware, 
Consummated/Effective,2020-05-27,Branch Closings,2020-LB-BranchClosing-313380,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware, 
Receipt,2020-05-27,Branch Closings,2020-LB-BranchClosing-314674,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware, 
Receipt,2020-05-27,Branch Closings,2020-LB-BranchClosing-314675,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware, 
Consummated/Effective,2020-05-27,Branch Establishment,2019-LB-BranchNew-308606,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware,2019-05-22
Approved,2020-05-27,Branch Establishment,2020-LB-BranchNew-314322,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware,2020-05-22
Approved,2020-05-27,Branch Establishment,2020-LB-BranchNew-314323,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware,2020-05-22
Approved,2020-05-27,Branch Establishment,2020-LB-BranchNew-314324,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware,2020-05-22
Receipt,2020-05-27,Branch Closings,2020-LB-BranchClosing-314679,KeyBank NA,127 Public Square,Cleveland,OH,Cuyahoga, 
Approved,2020-05-27,Relocation,2020-LB-Relocation-314217,PNC Bank NA,222 Delaware Avenue,Wilmington,DE,New Castle,2020-05-24
Approved,2020-05-27,Relocation,2020-LB-Relocation-314295,"Santander Bank, NA","824 N. Market Street, Suite 100",Wilmington,DE,New Castle,2020-05-24
Receipt,2020-05-28,Branch Closings,2020-NE-BranchClosing-314518,American NB & TR CO,628 Main Street,Danville,VA,Danville City, 
Approved,2020-05-28,Relocation,2020-LB-Relocation-314470,Citibank NA,5800 S Corporate Place,Sioux Falls,SD,Lincoln,2020-05-26
Withdrawn,2020-05-28,New Bank Charter,2019-SO-Charter-310113,"Coastal Community Bank, NA",4601 Sheridan Street,Hollywood,FL, ,2019-08-12
Consummated/Effective,2020-05-28,Branch Closings,2020-LB-BranchClosing-312916,"Fifth Third Bank, NA",38 Fountain Square Plaza,Cincinnati,OH,Hamilton, 
Consummated/Effective,2020-05-28,Branch Closings,2020-LB-BranchClosing-313422,"Fifth Third Bank, NA",38 Fountain Square Plaza,Cincinnati,OH,Hamilton, 
Receipt,2020-05-28,Branch Closings,2020-WE-BranchClosing-314661,First NB of Omaha,1620 Dodge Street Stop 3198,Omaha,NE,Douglas, 
Receipt,2020-05-28,Branch Closings,2020-WE-BranchClosing-314664,First NB of Omaha,1620 Dodge Street Stop 3198,Omaha,NE,Douglas, 
