Action,Date,Type,ApplicationNumber,BankName,Location,City,State,County,EndCmtPd,Coordinates
Consummated/Effective,2020-04-20,Branch Establishment,2019-WE-BranchNew-309220,Security NB of Omaha,1120 S. 101st Street,Omaha,NE,Douglas,2019-07-02,"(41.2475489, -96.07127165188949, 0.0)"
Approved,2020-04-21,Branch Establishment,2020-SO-BranchNew-313673,First NB Texas,507 N. Gray,Killeen,TX,Bell,2020-04-11,
Approved,2020-04-21,Relocation,2020-LB-Relocation-313840,HSBC Bank USA NA,1800 Tysons Boulevard,Tysons,VA,Fairfax,2020-04-18,"(38.92253005, -77.22256757939189, 0.0)"
Approved,2020-04-21,Branch Establishment,2020-LB-BranchNew-313933,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware,2020-04-18,"(40.14265239664577, -82.98892639120868, 0.0)"
Approved,2020-04-21,Branch Establishment,2020-LB-BranchNew-313934,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware,2020-04-18,"(40.14265239664577, -82.98892639120868, 0.0)"
Approved,2020-04-21,Branch Establishment,2020-LB-BranchNew-313935,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware,2020-04-18,"(40.14265239664577, -82.98892639120868, 0.0)"
Approved,2020-04-21,Branch Establishment,2020-LB-BranchNew-314061,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware,2020-04-19,"(40.14265239664577, -82.98892639120868, 0.0)"
Approved,2020-04-21,Branch Establishment,2020-LB-BranchNew-314066,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware,2020-04-19,"(40.14265239664577, -82.98892639120868, 0.0)"
Approved,2020-04-21,Branch Establishment,2020-SO-BranchNew-313407,Lone Star NB,206 West Ferguson,Pharr,TX,Hidalgo,2020-04-14,
Approved,2020-04-22,Branch Establishment,2020-LB-BranchNew-313898,"Bank of America, NA","100 North Tryon Street, Suite 170",Charlotte,NC,Mecklenburg,2020-04-19,
