Action,Date,Type,ApplicationNumber,BranchName,Location,City,State,County,EndCmtPd
Consummated/Effective,5/15/2020,Branch Closings,2020-LB-BranchClosing-313166,Pocono Pines Office,1950 ROUTE 940,POCONO PINES,PA,Monroe, 
Consummated/Effective,5/15/2020,Branch Closings,2020-LB-BranchClosing-313168,Prospect,401 SOUTH JEFFERSON STREET-PROSPECT PLAZA SHOPPING CENTER,FREDERICK,MD,Frederick, 
Receipt,5/15/2020,Branch Establishment,2020-NE-BranchNew-314537,Roseneath Office,1401 Roseneath Road,Richmond,VA,Richmond City,6/15/2020
Consummated/Effective,5/15/2020,Branch Closings,2020-NE-BranchClosing-313237,Sea Girt,1314 Sea Girt Avenue,Sea Girt,NJ,Monmouth, 
Receipt,5/15/2020,Branch Establishment,2020-LB-BranchNew-314541,Sewickley,NWC Beaver Street and Broad Street,Sewickley,PA,Allegheny,6/13/2020
Consummated/Effective,5/15/2020,Branch Closings,2020-NE-BranchClosing-313205,Shrewsbury Branch,490-B Shrewsbury Plaza,Shrewsbury,NJ,Monmouth, 
Consummated/Effective,5/15/2020,Branch Closings,2020-CE-BranchClosing-314548,Signal Butte & Southern Branch,1130 SOUTH SIGNAL BUTTE DRIVE,MESA,AZ,Maricopa, 
Approved,5/15/2020,Branch Establishment,2020-LB-BranchNew-314260,Skyland Town Center,NEC Alabama Avenue SE and Good Hope Road SE,Washington,DC,District of Columbia,5/14/2020
Consummated/Effective,5/15/2020,Branch Closings,2020-CE-BranchClosing-314547,Stapley & Mckellips Branch,NWC STAPLEY DRIVE & MCKELLIPS ROAD,MESA,AZ,Maricopa, 
Consummated/Effective,5/15/2020,Branch Closings,2020-LB-BranchClosing-313169,Sunbury Plaza,5939 SUNBURY,WESTERVILLE,OH,Franklin, 
Consummated/Effective,5/15/2020,Branch Closings,2020-CE-BranchClosing-314546,Tempe Marketplace Branch,11 SOUTH MCCLINTOCK DRIVE,TEMPE,AZ,Maricopa, 
Consummated/Effective,5/15/2020,Branch Closings,2020-LB-BranchClosing-313170,Twin Rivers,620 Route 33 E,EAST WINDSOR,NJ,Middlesex, 
Consummated/Effective,5/15/2020,Branch Closings,2020-LB-BranchClosing-313171,Tyler Center,12609 TAYLORSVILLE ROAD,LOUISVILLE,KY,Jefferson, 
Consummated/Effective,5/15/2020,Branch Closings,2020-LB-BranchClosing-313218,Vicksburg,119 NORTH MAIN STREET,VICKSBURG,MI,Kalamazoo, 
Consummated/Effective,5/15/2020,Branch Closings,2020-LB-BranchClosing-313220,Wadesboro,1109 E Caswell Street,Wadesboro,NC,Anson, 
Consummated/Effective,5/18/2020,Business Combinations,2019-CE-Combination-311833, , , , , ,12/13/2019
Receipt,5/18/2020,Subsidiaries & Equities,2020-SO-Subs&Equities-314598, , , , , , 
Receipt,5/18/2020,Branch Closings,2020-CE-BranchClosing-314544,35th & Southern Branch,6020 SOUTH 35TH AVENUE,PHOENIX,AZ,Maricopa, 
Receipt,5/18/2020,Branch Closings,2020-CE-BranchClosing-314545,60th and Greenfield Branch,4330 EAST JUANITA AVENUE,MESA,AZ,Maricopa, 
Receipt,5/18/2020,Branch Closings,2020-CE-BranchClosing-314491,75th & Cactus Road Branch,7550 WEST CACTUS ROAD,PEORIA,AZ,Maricopa, 
Consummated/Effective,5/18/2020,Relocation,2020-LB-Relocation-312643,Bloomfield,4701 Liberty Avenue,Pittsburgh,PA,Allegheny,2/7/2020
Consummated/Effective,5/18/2020,Branch Establishment,2019-CE-BranchNew-310370,Brooklyn Center MN Branch,5920 Brooklyn Boulevard,Brooklyn Center,MN,Hennepin,9/20/2019
Receipt,5/18/2020,Branch Closings,2020-CE-BranchClosing-314488,Cooper & Ray,"INTERSECTION COOPER & RAY, LOT 1, COOPER CROSSING SHPNG CTR",CHANDLER,AZ,Maricopa, 
Consummated/Effective,5/18/2020,Branch Closings,2019-LB-BranchClosing-307926,Decatur,250 E. PONCE DE LEON AVENUE,DECATUR,GA,Dekalb, 
Consummated/Effective,5/18/2020,Relocation,2019-LB-Relocation-307895,Decatur,250 E. PONCE DE LEON AVENUE,DECATUR,GA,Dekalb,4/5/2019
Receipt,5/18/2020,Branch Closings,2020-CE-BranchClosing-314548,Signal Butte & Southern Branch,1130 SOUTH SIGNAL BUTTE DRIVE,MESA,AZ,Maricopa, 
Receipt,5/18/2020,Branch Closings,2020-CE-BranchClosing-314547,Stapley & Mckellips Branch,NWC STAPLEY DRIVE & MCKELLIPS ROAD,MESA,AZ,Maricopa, 
Receipt,5/18/2020,Branch Closings,2020-CE-BranchClosing-314546,Tempe Marketplace Branch,11 SOUTH MCCLINTOCK DRIVE,TEMPE,AZ,Maricopa, 
Approved,5/18/2020,Branch Establishment,2020-CE-BranchNew-313685,Warsaw Branch,300 West Main Street,Warsaw,KY,Gallatin,5/15/2020
Approved,5/18/2020,Branch Establishment,2020-CE-BranchNew-314230,Wintrust Bank - Ogden Commons,2642 W. Ogden Ave.,Chicago,IL,Cook,5/11/2020
Approved,5/19/2020,5.53 Substantial Change in Assets,2020-CE-5.53-314051, , , , , , 
Withdrawn,5/19/2020,Business Combinations,2020-CE-Combination-313492, , , , , ,4/3/2020
Approved,5/19/2020,Business Combinations,2020-CE-Combination-314178, , , , , ,5/8/2020
Approved,5/19/2020,Relocation,2020-LB-Relocation-314223,5th Avenue Naples,"405 FIFTH AVENUE SOUTH, SUITE 405A",NAPLES,FL,Collier,5/17/2020
Approved,5/19/2020,215a-3: Mergers with Non-Bank Affiliates,2020-CE-215a3-314052,Aitkin Branch,15 MINNESOTA AVENUE SOUTH,AITKIN,MN,Aitkin, 
Approved,5/19/2020,215a-3: Mergers with Non-Bank Affiliates,2020-CE-215a3-314052,Alexandria,803 North Nokomis NE,Alexandria,MN,Douglas, 
Consummated/Effective,5/19/2020,Branch Closings,2020-LB-BranchClosing-313054,Broadway & 10th Street Banking Center,785 BROADWAY,NEW YORK,NY,New York, 
Receipt,5/19/2020,Branch Closings,2020-SO-BranchClosing-314599,Central Avenue Branch,965 Central Avenue,Saint Petersburg,FL,Pinellas, 
Receipt,5/19/2020,Relocation,2020-CE-Relocation-314556,Columbus Main Branch,501 Washington Street,Columbus,IN,Bartholomew,6/5/2020
Approved,5/19/2020,Branch Establishment,2020-LB-BranchNew-314273,Connecticut Avenue and Porter Street,SEC Connecticut Avenue NW and Porter Street NW,Washington,DC,District of Columbia,5/15/2020
Consummated/Effective,5/19/2020,Branch Closings,2020-LB-BranchClosing-313323,Dulles Town Crossing,45545 DULLES EASTERN PLAZA,STERLING,VA,Loudoun, 
Receipt,5/19/2020,Relocation,2020-SO-Relocation-314557,Gaslight Branch,1873 WEST FRANK STREET,LUFKIN,TX,Angelina,6/4/2020
Consummated/Effective,5/19/2020,Branch Closings,2020-LB-BranchClosing-313103,Golden Ring Mall,8663 PHILADELPHIA ROAD,BALTIMORE,MD,Baltimore, 
Consummated/Effective,5/19/2020,Branch Closings,2020-LB-BranchClosing-313334,Greenpoint,807 MANHATTAN AVENUE,BROOKLYN,NY,Kings, 
Consummated/Effective,5/19/2020,Branch Closings,2020-LB-BranchClosing-313335,Hauppauge 347,99 SMITHTOWN BYPASS,HAUPPAUGE,NY,Suffolk, 
Approved,5/19/2020,Branch Establishment,2020-LB-BranchNew-314274,Mall 205,NEC SE Stark Street and SE 103rd Drive,Portland,OR,Multnomah,5/15/2020
Approved,5/19/2020,215a-3: Mergers with Non-Bank Affiliates,2020-CE-215a3-314052,Mora Branch,710 FRANKIE LANE,MORA,MN,Kanabec, 
Consummated/Effective,5/19/2020,Branch Closings,2020-LB-BranchClosing-313326,Old Keene Mill,8436 OLD KEENE MILL ROAD,SPRINGFIELD,VA,Fairfax, 
Consummated/Effective,5/19/2020,Branch Closings,2020-LB-BranchClosing-313339,Park & 59th,502 PARK AVENUE,NEW YORK,NY,New York, 
Approved,5/19/2020,215a-3: Mergers with Non-Bank Affiliates,2020-CE-215a3-314052,Peoples National Bank,601 WEST WASHINGTON STREET,BRAINERD,MN,Crow Wing, 
Approved,5/19/2020,215a-3: Mergers with Non-Bank Affiliates,2020-CE-215a3-314052,Peoples National Bank of Mora Branch,5481 ST. CROIX TRAIL,NORTH BRANCH,MN,Chisago, 
Consummated/Effective,5/19/2020,Branch Closings,2020-LB-BranchClosing-313319,Pineville East Branch,HIGHWAY 28 EAST,PINEVILLE,LA,Rapides, 
Consummated/Effective,5/19/2020,Branch Closings,2020-LB-BranchClosing-313338,Rutherford Center,74 PARK AVENUE,RUTHERFORD,NJ,Bergen, 
Receipt,5/19/2020,Branch Closings,2020-LB-BranchClosing-314565,Sacramento - Arden Way,"1950 ARDEN WAY, 1ST FLR",SACRAMENTO,CA,Sacramento, 
Consummated/Effective,5/19/2020,Branch Closings,2020-LB-BranchClosing-313275,St. James Office,120 WEST ELDON STREET,ST. JAMES,MO,Phelps, 
Consummated/Effective,5/19/2020,Branch Closings,2020-LB-BranchClosing-313327,Stone Road Village,5613 STONE ROAD,CENTREVILLE,VA,Fairfax, 
Consummated/Effective,5/19/2020,Branch Closings,2020-LB-BranchClosing-313340,Thompson & Bleecker,154 BLEEKER STREET,NEW YORK,NY,New York, 
Consummated/Effective,5/19/2020,Branch Closings,2020-LB-BranchClosing-313341,Tottenville,240 PAGE AVENUE,STATEN ISLAND,NY,Richmond, 
Receipt,5/20/2020,Branch Establishment,2020-NE-BranchNew-314583,Asheville Branch,"One Town Square Boulevard, Suite 160",Asheville,NC,Buncombe,6/19/2020
Withdrawn,5/20/2020,Branch Establishment,2020-NE-BranchNew-314583,Asheville Branch,"One Town Square Boulevard, Suite 160",Asheville,NC,Buncombe,6/19/2020
Receipt,5/20/2020,Branch Establishment,2020-NE-BranchNew-314586,Biltmore Park Office,One Town Square Boulevard,Asheville,NC,Buncombe,6/19/2020
Consummated/Effective,5/20/2020,Branch Closings,2020-LB-BranchClosing-313345,Eldridge,2540 Eldridge Parkway,Houston,TX,Harris, 
Receipt,5/20/2020,Branch Establishment,2020-SO-BranchNew-314615,First American National bank,105 South Main Street,Amory,MS,Monroe,6/19/2020
Approved,5/20/2020,Relocation,2020-LB-Relocation-314293,K Street Office,"1801 K STREET, N. W.",WASHINGTON,DC,District of Columbia,5/17/2020
Consummated/Effective,5/20/2020,Branch Closings,2020-LB-BranchClosing-313336,Kings Highway,1226 KINGS HIGHWAY,BROOKLYN,NY,Kings, 
Approved,5/20/2020,Relocation,2020-LB-Relocation-314290,Montgomery Village,19226 Montgomery Village Ave,Gaithersburg,MD,Montgomery,5/17/2020
Consummated/Effective,5/20/2020,Branch Closings,2020-LB-BranchClosing-313328,Westbard,5370 WESTBARD AVENUE,BETHESDA,MD,Montgomery, 
Approved,5/20/2020,Branch Establishment,2020-LB-BranchNew-314265,Woodmere,27950 Chagrin Blvd,Woodmere,OH,Cuyahoga,5/16/2020
Receipt,5/21/2020,Subsidiaries & Equities,2020-LB-Subs&Equities-314642, , , , , , 
Consummated/Effective,5/21/2020,Subsidiaries & Equities,2020-LB-Subs&Equities-314724, , , , , , 
Consummated/Effective,5/21/2020,Subsidiaries & Equities,2020-WE-Subs&Equities-314762, , , , , , 
Consummated/Effective,5/21/2020,Subsidiaries & Equities,2020-WE-Subs&Equities-314763, , , , , , 
Receipt,5/21/2020,Relocation,2020-LB-Relocation-314606,Beacon,364 MAIN STREET,BEACON,NY,Dutchess,6/4/2020
Receipt,5/21/2020,Relocation,2020-LB-Relocation-314611,Broad and Erie,3711 Germantown Avenue,Philadelphia,PA,Philadelphia,6/19/2020
Consummated/Effective,5/21/2020,Branch Closings,2020-LB-BranchClosing-314656,East Gresham Fred Meyer,2475 SE BURNSIDE RD,GRESHAM,OR,Multnomah, 
Consummated/Effective,5/21/2020,Branch Closings,2020-LB-BranchClosing-313276,Marceline Office,100 NORTH KANSAS,MARCELINE,MO,Linn, 
Consummated/Effective,5/21/2020,Branch Closings,2020-LB-BranchClosing-313277,Montgomery City Office,220 NORTH STURGEON,MONTGOMERY CITY,MO,Montgomery, 
Consummated/Effective,5/21/2020,Branch Closings,2020-LB-BranchClosing-313210,New Milford River Road,830 RIVER RD,NEW MILFORD,NJ,Bergen, 
Receipt,5/21/2020,Relocation,2020-LB-Relocation-314607,North Haven,127 WASHINGTON AVE.,HAMDEN,CT,New Haven,6/5/2020
Consummated/Effective,5/21/2020,Branch Closings,2020-LB-BranchClosing-313053,North Salem Fred Meyer,2855 BROADWAY ST NE,SALEM,OR,Marion, 
Consummated/Effective,5/21/2020,Branch Closings,2019-LB-BranchClosing-312282,Palm & Shaw Banking Center,5126 NORTH PALM AVENUE,FRESNO,CA,Fresno, 
Consummated/Effective,5/21/2020,Branch Closings,2020-LB-BranchClosing-313078,Santa Clara Fred Meyer,60 DIVISION AVE,EUGENE,OR,Lane, 
Consummated/Effective,5/21/2020,Branch Closings,2020-LB-BranchClosing-313052,Tacoma Stevens Fred Meyer,"4505 S 19TH ST, SUITE C",TACOMA,WA,Pierce, 
Consummated/Effective,5/21/2020,Branch Closings,2020-LB-BranchClosing-313206,Tumwater Fred Meyer,"555 TROSPER RD SW, STE A",TUMWATER,WA,Thurston, 
Receipt,5/21/2020,Branch Establishment,2020-LB-BranchNew-314600,University and Lorraine,SEC University Parkway and Lorraine Road,Lakewood Ranch,FL,Sarasota,6/19/2020
Receipt,2020-05-22,Relocation,2020-CE-Relocation-314655, , , , , ,2020-06-27
Receipt,2020-05-22,Subsidiaries & Equities,2020-LB-Subs&Equities-314643, , , , , , 
Receipt,2020-05-22,Subsidiaries & Equities,2020-LB-Subs&Equities-314645, , , , , , 
Consummated/Effective,2020-05-22,Terminations,2020-CE-Termination-313608, , , , , , 
Receipt,2020-05-22,Branch Closings,2020-LB-BranchClosing-313709,13 Mile/Woodward,30701 WOODWARD AVENUE,ROYAL OAK,MI,Oakland, 
Receipt,2020-05-22,Branch Closings,2020-LB-BranchClosing-314613,44303 Apopka BC,211 S. Edgewood Ave.,Apopka,FL,Orange, 
Receipt,2020-05-22,Branch Closings,2020-LB-BranchClosing-313710,Ayden,233 3rd St,Ayden,NC,Pitt, 
Receipt,2020-05-22,Branch Closings,2020-LB-BranchClosing-313712,Bancohio - Bethel/Sawmill Branch,2510 BETHEL ROAD,COLUMBUS,OH,Franklin, 
Consummated/Effective,2020-05-22,Branch Establishment,2020-SO-BranchNew-312891,Bellmead First Convenience Bank inside Walmart,1521 Interstate 35 N.,Bellmead,TX,Mclennan,2020-02-26
Receipt,2020-05-22,Branch Closings,2020-LB-BranchClosing-313713,Bethesda Montgomery Court,4424 MONTGOMERY AVENUE,BETHESDA,MD,Montgomery, 
Receipt,2020-05-22,Branch Closings,2020-LB-BranchClosing-313714,Blackburn Avenue Office,2935 BLACKBURN AVENUE,ASHLAND,KY,Boyd, 
Receipt,2020-05-22,Branch Closings,2020-LB-BranchClosing-313756,Bloomsburg,50 W Main St,BLOOMSBURG,PA,Columbia, 
Receipt,2020-05-22,Branch Closings,2020-CE-BranchClosing-314624,Butler Banking Center,85 NORTH MAIN STREET,BUTLER,OH,Richland, 
Receipt,2020-05-22,Branch Closings,2020-CE-BranchClosing-314631,Caledonia Branch,140 EAST MARION STREET,CALEDONIA,OH,Marion, 
Receipt,2020-05-22,Branch Closings,2020-CE-BranchClosing-314626,Canal Winchester,6195 Gender Road,Canal Winchester,OH,Franklin, 
Consummated/Effective,2020-05-22,Branch Closings,2020-LB-BranchClosing-313664,Collegeville Branch,364 East Main Street,Collegeville,PA,Montgomery, 
Receipt,2020-05-22,Branch Closings,2020-LB-BranchClosing-313757,Conyngham Valley,345 MAIN STREET,Sugarloaf,PA,Luzerne, 
Receipt,2020-05-22,Branch Closings,2020-NE-BranchClosing-314641,Cynthiana Downtown Branch,101 East Pike Street,Cynthiana,KY,Harrison, 
Receipt,2020-05-22,Branch Closings,2020-LB-BranchClosing-313770,Dalton Banking Center,204 SOUTH MILL STREET,DALTON,OH,Wayne, 
Receipt,2020-05-22,Branch Closings,2020-LB-BranchClosing-313771,Darwin Square Branch,3201 SW PORT ST. LUCIE BOULEVARD,PORT ST. LUCIE,FL,St. Lucie, 
Receipt,2020-05-22,Relocation,2020-WE-Relocation-314647,Downtown Office,1600 4TH AVENUE,ROCK ISLAND,IL,Rock Island, 
Receipt,2020-05-22,Branch Closings,2020-CE-BranchClosing-314618,Dugway Office,1520 WEST CHURCH STREET,NEWARK,OH,Knox, 
Receipt,2020-05-22,Branch Closings,2020-CE-BranchClosing-314620,Eastland Branch,1008 EAST MAIN STREET,NEWARK,OH,Licking, 
Receipt,2020-05-22,Branch Closings,2020-LB-BranchClosing-313772,Fanwood,45 S. MARTINE AV,FANWOOD,NJ,Union, 
Consummated/Effective,2020-05-22,Branch Closings,2020-LB-BranchClosing-313385,Fogelsville Branch,861 NORTH ROUTE 100,FOGELSVILLE,PA,Lehigh, 
Receipt,2020-05-22,Branch Closings,2020-LB-BranchClosing-313773,Forest City,245 E Main St,Forest City,NC,Rutherford, 
Consummated/Effective,2020-05-22,Branch Closings,2020-LB-BranchClosing-314698,Fort Lauderdale Downtown,713 East Broward Boulevard,Fort Lauderdale,FL,Broward, 
Receipt,2020-05-22,Branch Closings,2020-CE-BranchClosing-314633,Gardner Branch,720 GARDNER ROAD,SPRINGBORO,OH,Warren, 
Receipt,2020-05-22,Branch Closings,2020-CE-BranchClosing-314627,Kroger Lexington Avenue Banking Center,1500 LEXINGTON AVENUE,MANSFIELD,OH,Richland, 
Receipt,2020-05-22,Branch Closings,2020-CE-BranchClosing-314638,Lake Norman Office,124 Trade Court,Mooresville,NC,Iredell, 
Receipt,2020-05-22,Branch Closings,2020-LB-BranchClosing-314521,Lakewood Plaza,190 WEST LAKEWOOD,HOLLAND,MI,Ottawa, 
Receipt,2020-05-22,Branch Closings,2020-CE-BranchClosing-314623,Lancaster West Office,1001 WEST FAIR AVENUE,LANCASTER,OH,Fairfield, 
Receipt,2020-05-22,Branch Establishment,2020-CE-BranchNew-314818,Le Center,10 West Minnesota St.,Minneapolis,MN,Le Sueur,2020-06-27
Receipt,2020-05-22,Branch Closings,2020-LB-BranchClosing-314184,Lexington Park,21625 GREAT MILLS ROAD,LEXINGTON PARK,MD,St Marys, 
Receipt,2020-05-22,Branch Closings,2020-LB-BranchClosing-314523,Little Falls,4749 SANGAMORE ROAD,SUMNER,MD,Montgomery, 
Receipt,2020-05-22,Branch Closings,2020-CE-BranchClosing-314619,Marketplace Branch,1155 N 21st Street,Newark,OH,Licking, 
Receipt,2020-05-22,Branch Closings,2020-CE-BranchClosing-314629,Medway Office,130 WEST MAIN STREET,MEDWAY,OH,Clark, 
Receipt,2020-05-22,Branch Closings,2020-CE-BranchClosing-314625,Meijer Lancaster Area Branch,"2900 COLUMBUS LANCASTER, NW,",LANCASTER,OH,Fairfield, 
Receipt,2020-05-22,Branch Closings,2020-LB-BranchClosing-314185,Messiah Village,939 OAK OVAL,MECHANICSBURG,PA,Cumberland, 
Receipt,2020-05-22,Branch Closings,2020-CE-BranchClosing-314635,Milford Branch,25 MAIN STREET,MILFORD,OH,Clermont, 
Receipt,2020-05-22,Branch Closings,2020-LB-BranchClosing-314187,Montclair,57 PARK STREET,MONTCLAIR,NJ,Essex, 
Receipt,2020-05-22,Branch Closings,2020-LB-BranchClosing-314188,Navy Yard,1 CRESCENT DRIVE,PHILADELPHIA,PA,Philadelphia, 
Receipt,2020-05-22,Branch Closings,2020-LB-BranchClosing-314559,North East Office,26 EAST MAIN STREET,NORTH EAST,PA,Erie, 
Receipt,2020-05-22,Branch Closings,2020-LB-BranchClosing-314189,North Mentor Branch,6079 ANDREWS ROAD,MENTOR ON THE LAKE,OH,Lake, 
Receipt,2020-05-22,Branch Closings,2020-LB-BranchClosing-314191,North Side Office,345 MILAN AVENUE,NORWALK,OH,Huron, 
Receipt,2020-05-22,Branch Closings,2020-CE-BranchClosing-314636,Not Given,ONE MONUMENT SQUARE,URBANA,OH,Champaign, 
Receipt,2020-05-22,Branch Closings,2020-LB-BranchClosing-314561,Oklahoma Branch,7501 WEST OKLAHOMA AVENUE,MILWAUKEE,WI,Milwaukee, 
Receipt,2020-05-22,Branch Closings,2020-LB-BranchClosing-314192,Otsego Office,101 E Allegan St,OTSEGO,MI,Allegan, 
Receipt,2020-05-22,Branch Closings,2020-CE-BranchClosing-314621,Park National Bank Branch,1365 STONERIDGE DRIVE,COLUMBUS,OH,Franklin, 
Receipt,2020-05-22,Branch Closings,2020-CE-BranchClosing-314632,Perrysville Office,112 NORTH BRIDGE STREET,PERRYSVILLE,OH,Ashland, 
Receipt,2020-05-22,Branch Closings,2020-LB-BranchClosing-314193,Pine Street,1045 N. PINE ROAD,ESSEXVILLE,MI,Bay, 
Approved,2020-05-22,Branch Establishment,2020-LB-BranchNew-314264,PNC Mobile Cook County IL,n/a,n/a,IL,Cook,2020-05-21
Approved,2020-05-22,Branch Establishment,2020-LB-BranchNew-314263,PNC Mobile Kane County IL,n/a,n/a,IL,Kane,2020-05-21
Approved,2020-05-22,Branch Establishment,2020-LB-BranchNew-314261,PNC Mobile Lake County IL,n/a,n/a,IL,Lake,2020-05-21
Receipt,2020-05-22,Branch Closings,2020-CE-BranchClosing-314630,Prospect Branch,105 NORTH MAIN STREET,PROSPECT,OH,Marion, 
Receipt,2020-05-22,Branch Closings,2020-LB-BranchClosing-314194,Seven Hills Branch,7781 BROADVIEW ROAD,SEVEN HILLS,OH,Cuyahoga, 
Receipt,2020-05-22,Branch Closings,2020-LB-BranchClosing-314567,Shelbyville Road Branch,4304 SHELBYVILLE ROAD,LOUISVILLE,KY,Jefferson, 
Receipt,2020-05-22,Branch Closings,2020-CE-BranchClosing-314617,Southgate Office,567 HEBRON ROAD,HEATH,OH,Licking, 
Receipt,2020-05-22,Branch Closings,2020-LB-BranchClosing-314568,State & Huron,700 NORTH STATE STREET,CHICAGO,IL,Cook, 
Receipt,2020-05-22,Branch Closings,2020-LB-BranchClosing-314213,State & Spring,400 STATE STREET,NEW ALBANY,IN,Floyd, 
Receipt,2020-05-22,Branch Closings,2020-CE-BranchClosing-314628,The Kroger Company Retail Store Branch,3387 MAPLE AVENUE,ZANESVILLE,OH,Muskingum, 
Receipt,2020-05-22,Branch Closings,2020-CE-BranchClosing-314637,The Plain City Branch,105 WEST MAIN STREET,PLAIN CITY,OH,Union, 
Receipt,2020-05-22,Branch Closings,2020-LB-BranchClosing-314214,Traverse City-West Branch,2537 US 31 SOUTH,TRAVERSE CITY,MI,Grand Traverse, 
Receipt,2020-05-22,Branch Closings,2020-LB-BranchClosing-314569,Whitehouse Branch,10901 WATERVILLE ROAD,WHITEHOUSE,OH,Lucas, 
Receipt,2020-05-26,Subsidiaries & Equities,2020-NE-Subs&Equities-314651, , , , , , 
Consummated/Effective,2020-05-26,Branch Closings,2020-LB-BranchClosing-313377,Avenue U at Bedford Avenue,2512 AVENUE U,BROOKLYN,NY,Kings, 
Receipt,2020-05-26,Branch Closings,2020-LB-BranchClosing-314656,East Gresham Fred Meyer,2475 SE BURNSIDE RD,GRESHAM,OR,Multnomah, 
Consummated/Effective,2020-05-26,Branch Establishment,2019-LB-BranchNew-309112,Fort Lauderdale Downtown,720 E Broward Blvd,Fort Lauderdale,FL,Broward,2019-06-20
Consummated/Effective,2020-05-26,Branch Establishment,2019-LB-BranchNew-312154,Greenwood,649 South State Road 135,Greenwood,IN,Johnson,2020-01-10
Consummated/Effective,2020-05-26,Branch Closings,2020-LB-BranchClosing-313646,Kenton Office,111 EAST COLUMBUS STREET,KENTON,OH,Hardin, 
Receipt,2020-05-26,Branch Establishment,2020-LB-BranchNew-314278,Midtown BC,1715 West End Avenue,Nashville,TN,Davidson,2020-06-25
Consummated/Effective,2020-05-26,Branch Establishment,2020-LB-BranchNew-313441,University and Sunrise,"455 University Blvd, STE 700",Round Rock,TX,Williamson,2020-03-28
Approved,2020-05-26,Branch Establishment,2020-LB-BranchNew-314315,Valley Fair Mall,"3601 South 2700 West, Ste G128",West Valley City,UT,Salt Lake,2020-05-22
Receipt,2020-05-27,Branch Closings,2020-LB-BranchClosing-314674,91st Avenue & Union Hills Banking Center,"8978 WEST UNION HILLS DRIVE, SUITE 106",PEORIA,AZ,Maricopa, 
Approved,2020-05-27,Relocation,2020-LB-Relocation-314446,Abington,1359 Old York Roads,Abington,PA,Montgomery,2020-05-22
Approved,2020-05-27,Branch Establishment,2020-LB-BranchNew-314306,Berea Drive Thru,31 E. Bridge St.,Berea,OH,Cuyahoga,2020-05-24
Approved,2020-05-27,Relocation,2020-LB-Relocation-314217,Bethel Park,5035 LIBRARY ROAD,BETHEL PARK PA,PA,Allegheny,2020-05-24
Approved,2020-05-27,Branch Establishment,2020-LB-BranchNew-314322,Cornell and Murray,NEC NW Cornell Road and NW Trail Avenue,Portland,OR,Washington,2020-05-22
Approved,2020-05-27,Relocation,2020-LB-Relocation-314295,Financial District,2 GOLD STREET,NEW YORK,NY,New York,2020-05-24
Approved,2020-05-27,Branch Establishment,2020-LB-BranchNew-314314,Forestville,7765 Beechmont Ave,Cincinnati,OH,Hamilton,2020-05-22
Approved,2020-05-27,Branch Establishment,2020-LB-BranchNew-314323,Greenway Town Center,SWC SW Scholls Ferry Road aka Hwy 210 & SW 121st Ave,Tigard,OR,Washington,2020-05-22
Consummated/Effective,2020-05-27,Branch Closings,2020-LB-BranchClosing-313079,Marengo,200 EAST GRANT HIGHWAY,MARENGO,IL,McHenry, 
Consummated/Effective,2020-05-27,Branch Closings,2020-LB-BranchClosing-312930,North Chelsea Banking Center,245 7TH AVENUE,NEW YORK,NY,New York, 
Receipt,2020-05-27,Branch Closings,2020-LB-BranchClosing-314679,North White Plains Branch,76-78 VIRGINIA ROAD,WHITE PLAINS,NY,Westchester, 
Consummated/Effective,2020-05-27,Branch Closings,2020-LB-BranchClosing-313380,Parker,401 RIVERSIDE DRIVE,PARKER,AZ,Yuma, 
Approved,2020-05-27,Branch Establishment,2020-LB-BranchNew-314324,SE 82nd Drive and Highway 212,SWC SE 82nd Drive and Highway 212,Clackamas,OR,Clackamas,2020-05-22
Receipt,2020-05-27,Branch Closings,2020-LB-BranchClosing-314675,Siegen Lane,8751 SIEGEN LANE,BATON ROUGE,LA,East Baton Rouge, 
Consummated/Effective,2020-05-27,Branch Closings,2020-LB-BranchClosing-312928,Timberline & Custer,2804 SOUTH TIMBERLINE ROAD,FORT COLLINS,CO,Larimer, 
Consummated/Effective,2020-05-27,Branch Establishment,2019-LB-BranchNew-308606,Westwood High St,670 High Street,Westwood,MA,Norfolk,2019-05-22
Consummated/Effective,2020-05-28,Branch Closings,2020-LB-BranchClosing-312916,02888 Radio Road BC,4025 Radio Road,Naples,FL,Collier, 
Consummated/Effective,2020-05-28,Branch Closings,2020-LB-BranchClosing-313422,08318 Groesbeck BM,6401 Colerain Avenue,Cincinnati,OH,Hamilton, 
Receipt,2020-05-28,Branch Establishment,2020-LB-BranchNew-314686,Alpharetta Street and Holcomb Bridge Road,SEC Alpharetta St aka Hwy 9 & Holcomb Bridge Rd aka Hwy 140,Roswell,GA,Fulton,2020-06-25
Withdrawn,2020-05-28,New Bank Charter,2019-SO-Charter-310113,"Coastal Community Bank, NA",4601 Sheridan Street,Hollywood,FL, ,2019-08-12
Receipt,2020-05-28,Branch Closings,2020-NE-BranchClosing-314518,Cum Park Plaza,2214 NORTH CHURCH STREET,BURLINGTON,NC,Alamance, 
Receipt,2020-05-28,Branch Closings,2020-LB-BranchClosing-314698,Fort Lauderdale Downtown,713 East Broward Boulevard,Fort Lauderdale,FL,Broward, 
Consummated/Effective,2020-05-28,Branch Closings,2020-LB-BranchClosing-313279,Lakeview Branch,RUDDER ROAD & OLD US HWY 54,LAKEVIEW,MO,Miller, 
